Molecule ChEMBL ID,Smiles,Standard Value,AlogP,Molecular Weight
CHEMBL212220,CCCCC(CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,84.0,3.88,353.49
CHEMBL377041,CCCC(CC1(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)CCCC1)C(=O)O,1060.0,3.83,386.54
CHEMBL211652,CCCCc1ccnc(NC(=O)C2(CC(CCC)C(=O)O)CCCC2)c1,184.0,4.81,360.5
CHEMBL35260,O=C(O)Cc1nnc(NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)CC(COc2ccccc2)C(=O)O)s1,92.0,4.8,545.62
CHEMBL313419,CCCC[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,37.0,2.75,448.46
CHEMBL329530,C[C@H](c1ccccc1)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,47.0,3.36,496.5
CHEMBL92632,CC(C)[C@H](N[C@@H](C)C(=O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,735.0,2.55,412.49
CHEMBL273489,O=P(O)(O)C(Cc1ccc2c(c1)OCO2)N[C@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,2.5,3.22,493.46
CHEMBL212105,CCCC(CC1(C(=O)NC2CCCC(C(=O)N(C)C)C2)CCCC1)C(=O)O,297.0,3.2,380.53
CHEMBL271718,O=C(O)[C@H](Cc1ccc2ccccc2c1)NC(=O)N(CCN1C(=O)c2cccc3cccc(c23)C1=O)C[C@H](O)C(=O)O,650.0,2.74,569.57
CHEMBL3703484,C[C@H](C[C@@H](Cc1ccc(-c2cccc(Cl)c2)cc1)NC(=O)CCC(=O)O)C(=O)O,0.3,4.01,417.89
CHEMBL3676150,O=C(O)CCC(=O)N[C@@H](CC(=O)O)Cc1ccc(-c2cccc(Cl)c2)cc1,1.5,3.37,389.83
CHEMBL4518426,CCc1cccc(-c2ccc(C[C@H](CC(=O)O)NC(=O)CCC(=O)O)cc2)c1,5.4,3.28,383.44
CHEMBL46081,O=C(O)CCC(=O)N[C@@H](CCC(=O)O)Cc1ccc(-c2ccccc2)cc1,550.0,3.11,369.42
CHEMBL4466321,N#Cc1cccc(-c2ccc(C[C@H](CC(=O)O)NC(=O)CCC(=O)O)cc2)c1,6.9,2.59,380.4
CHEMBL4443138,CC(C[C@@H](Cc1ccc(-c2cccc(Cl)c2)cc1)NC(=O)CCC(=O)O)C(=O)O,0.8,4.01,417.89
CHEMBL92949,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,9.0,1.03,397.37
CHEMBL479579,CC(C)C[C@H](NP(=O)(O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,30.0,0.23,543.51
CHEMBL212377,CCCC(CC1(C(=O)Nc2nnc(CC3CC3)s2)CCCC1)C(=O)O,38.0,3.88,365.5
CHEMBL149367,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCCC[C@@H]1CS,136.0,2.85,335.47
CHEMBL28215,N=C(N)NCCC[C@@H](NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,60000.0,3.44,637.67
CHEMBL99132,O=C(CS)NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3,1000.0,0.39,320.37
CHEMBL479579,CC(C)C[C@H](NP(=O)(O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,100.0,0.23,543.51
CHEMBL329136,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccccc1O)NCP(=O)(O)O,1000.0,2.51,498.47
CHEMBL3633451,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCNC(N)=O)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,90000.0,-4.45,693.76
CHEMBL1778529,CCC[C@H](NC1(C(=O)N[C@@H](Cc2nc(-c3ccccc3)co2)C(=O)O)CCCC1)C(=O)O,7.0,2.61,443.5
CHEMBL48534,CC(S)(Cc1ccccc1)C(=O)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,865.0,2.47,412.51
CHEMBL27110,CC(C)CC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,4000.0,5.23,594.65
CHEMBL377037,CCCC(CC1(C(=O)NC2(CO)Cc3ccccc3C2)CCCC1)C(=O)O,96.0,3.08,373.49
CHEMBL289556,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,0.1995,1.94,408.55
CHEMBL4453362,CCCCc1nc(Cl)c(CNC(=O)C(CS)C(C)C)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,2511.89,6.11,528.12
CHEMBL4547120,CCCCc1nc(C2CC2)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1.0,6.48,533.74
CHEMBL4588688,CCOc1nc(CC)c(CNC(=O)[C@@H](CS)CC(C)C)n1Cc1ccc(-c2ccccc2C(=O)O)cc1F,15.85,5.61,541.69
CHEMBL24919,CCC(C)C(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,1200.0,5.23,594.65
CHEMBL27868,NC(=O)CCC(NC(=O)C(Cc1ccccc1)CP(=O)(O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O,100000.0,3.45,609.62
CHEMBL214160,CCCC(CC1(C(=O)Nc2nncs2)CCCC1)C(=O)O,377.0,2.93,311.41
CHEMBL213861,CCCC(CC1(C(=O)N[C@@H]2CC[C@H](C(N)=O)C2)CCCC1)C(=O)O,213.0,2.21,338.45
CHEMBL431210,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,50000.0,1.26,329.44
CHEMBL256895,O=C(O)[C@H](Cc1ccc2ccccc2c1)NC(=O)N(Cc1ccc2c(c1)Cc1ccccc1-2)C[C@H](O)C(=O)O,19000.0,4.06,524.57
CHEMBL270576,CC(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,6.0,0.5,368.39
CHEMBL409720,CC(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,10.0,2.46,428.49
CHEMBL43370,CS(=O)(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)P(=O)(O)CC1(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CCCC1,90.0,2.84,703.8
CHEMBL98876,CC(C)[C@H](S)C(=O)NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3,940.0,1.41,362.45
CHEMBL213404,CCCC(CC1(C(=O)N[C@@H]2CCCC[C@@H]2Cc2ccccc2)CCCC1)C(=O)O,195.0,5.36,399.58
CHEMBL318192,O=C(NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3)[C@H](S)Cc1ccccc1,83.0,2.0,410.5
CHEMBL378763,CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,19.7,3.49,339.46
CHEMBL416234,O=C(NCCc1ccc(Br)cc1)[C@H](CC#Cc1ccc(F)cc1F)NCP(=O)(O)O,860.0,2.92,501.26
CHEMBL281237,O=C(N[C@@H](Cc1ccccc1)P(=O)(O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,10000.0,5.9,667.7
CHEMBL50559,C[C@@H]1Oc2ccccc2N(CC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,5.2,1.91,414.48
CHEMBL94173,CC[C@H](C)C(N[C@@H](C)C(=O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,165.0,2.94,426.51
CHEMBL148140,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCC[C@@H]1CS,99.0,2.46,321.44
CHEMBL378763,CCC[C@H](CC1(C(=O)Nc2nnc(CC)s2)CCCC1)C(=O)O,18.9,3.49,339.46
CHEMBL211529,CCCC(CC1(C(=O)N[C@@H]2CCCC[C@@H]2CCC)CCCC1)C(=O)O,890.0,4.91,351.53
CHEMBL386053,CCCC(CC1(C(=O)NCc2ccc3c(c2)OCO3)CCCC1)C(=O)O,1500.0,3.48,361.44
CHEMBL34884,O=C(O)CNC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)C[C@@H](COc1ccccc1)C(=O)O,3.2,3.88,461.51
CHEMBL93816,CC(C)(S)C(=O)NC1CCc2cccc3c2N(C1=O)[C@H](C(=O)O)C3,1000.0,1.17,348.42
CHEMBL1778533,COCC[C@H](NC1(C(=O)N[C@@H](Cc2nc(C)c(-c3ccccc3)o2)C(=O)O)CCCC1)C(=O)O,5.0,2.15,473.53
CHEMBL273216,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NCP(=O)(O)O,15000.0,2.07,335.3
CHEMBL63001,CN1CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,484.0,0.57,365.46
CHEMBL148140,O=C1N[C@@H](C(=O)O)Cc2ccccc2CCCCC[C@@H]1CS,99.0,2.46,321.44
CHEMBL213281,CCc1nnc(NC(=O)C2(CC(CCC(C)C)C(=O)O)CCCC2)s1,120.0,4.13,367.52
CHEMBL273244,O=P(O)(O)C(Cc1ccc2ccccc2c1)N[C@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1,,4.64,499.51
CHEMBL3695448,CCOC(=O)[C@H](C)N[C@@H](Cc1ccc(-c2cccc(Cl)c2)cc1)C(=O)Nc1nnn[nH]1,0.09,2.61,442.91
CHEMBL3695449,C[C@H](N[C@@H](Cc1ccc(-c2cc(Cl)ccc2Cl)cc1)C(=O)Nc1nnn[nH]1)C(=O)OC(C)(C)C,0.3,4.04,505.41
CHEMBL3695452,C[C@H](N[C@@H](Cc1ccc(-c2cccc(Cl)c2)cc1)C(=O)NC1=NNNN1C)C(=O)O,91.0,1.32,430.9
CHEMBL377431,CCCC(CC1(C(=O)N[C@H](CO)Cc2ccccc2)CCCC1)C(=O)O,384.0,3.16,361.48
CHEMBL377415,CCCC(CC1(C(=O)Nc2cccc(CC)n2)CCCC1)C(=O)O,2000.0,4.03,332.44
CHEMBL2024270,N=C(N)NCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(C(=O)c2ccccc2)cc1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,100000.0,-3.4,796.89
CHEMBL272575,O=C(O)[C@H](Cc1ccc(O)cc1)NC(=O)N(CC1CCCC1)C[C@H](O)C(=O)O,90.0,1.04,394.42
CHEMBL1778528,CCC[C@H](NC1(C(=O)N[C@@H](Cc2nc(CC(C)C)co2)C(=O)O)CCCC1)C(=O)O,20.0,2.14,423.51
CHEMBL84969,CCCCC(CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,,1.26,329.44
CHEMBL1778531,COCC[C@H](NC1(C(=O)N[C@@H](Cc2nc(-c3ccccc3)co2)C(=O)O)CCCC1)C(=O)O,4.8,1.85,459.5
CHEMBL225085,COCC[C@H](CC1(C(=O)NCCCc2ccc(Cl)cc2)CCCC1)C(=O)O,10.5,4.08,395.93
CHEMBL275980,CC(C)C(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O,15.0,2.56,309.43
CHEMBL299875,CCCC[C@H](S)C(=O)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,36.0,2.02,364.47
CHEMBL442337,CC(C)C[C@@H](NC(=O)C(CS)Cc1ccccc1)C(=O)O,4.5,2.39,309.43
