BindingDB MonomerID,Ligand SMILES,IC50 (nM)
299355,CCOC(=O)[C@H](COS(C)(=O)=O)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NB(C)O,
299369,COC(=O)NCC(=O)N[C@H](C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1c[nH]nn1)C(O)=O,
299386,CCOC(=O)[C@H](CN)C[C@@H](Cc1ccc(cc1)-c1cc(Cl)ccc1F)NC(=O)c1c[nH]nn1,
459436,CC(C)([C@H](C[C@@H](O)C(O)=O)NC(=O)c1cn(O)nn1)c1ccc(cc1)-c1ccccc1,
298287,CC(C)OC(=O)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1cccc(Cl)c1,
298289,CC(C)COC(=O)[C@H](O)C[C@@H](Cc1ccc(cc1)-c1cccc(Cl)c1)NC(=O)C(O)=O,
298297,O[C@H](C[C@@H](Cc1ccc(cc1Cl)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
458412,OC[C@H](C[C@@H](Cc1ccc(cc1)-c1ccc(F)cc1)NC(=O)C(O)=O)C(O)=O,
458413,OC[C@H](C[C@@H](Cc1ccc(cc1Cl)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
298312,C[C@@](CO)(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)C(O)=O)C(O)=O,
459340,CCCCc1cc([nH]n1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459341,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(n[nH]1)-c1ccccc1)C(O)=O,
459342,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(nn1CCC(O)=O)-c1ccccc1)C(O)=O,
459346,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(n[nH]1)-c1ccc(F)cc1)C(O)=O,
459356,COc1ccccc1C(=O)Nc1cc([nH]n1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459358,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(NC(=O)c2ccccn2)n[nH]1)C(O)=O,
459361,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(n[nH]1)-c1cnccn1)C(O)=O,
459363,C[C@H](O)c1cc([nH]n1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459364,C[C@@H](O)c1cc([nH]n1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459366,CCCCc1cc([nH]n1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459370,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc2-c3ccccc3OCCCn2n1)C(O)=O,
459371,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc2-c3ccccc3OC[C@@H](O)Cn2n1)C(O)=O,
459373,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc2-c3ccccc3OCn2n1)C(O)=O,
459280,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1nnn[nH]1)C(O)=O,
459282,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(CC(O)=O)[nH]n1)C(O)=O,
459283,OCc1cc(n[nH]1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459284,COCc1cc(n[nH]1)C(=O)N[C@@H](C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
459287,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2cccc(Cl)c2)n1)C(O)=O,
459288,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2c(F)cc(Cl)cc2F)n1)C(O)=O,
459289,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2ccccc2Cl)n1)C(O)=O,
459290,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2cc(F)ccc2Cl)n1)C(O)=O,
459291,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2cc(F)cc(Cl)c2)n1)C(O)=O,
459293,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2ccc(Cl)cc2F)n1)C(O)=O,
459294,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2ccc(F)c(Cl)c2)n1)C(O)=O,
459295,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2ccc(Cl)cc2)n1)C(O)=O,
459296,OC(C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(C(O)=O)n(Cc2c(F)ccc(Cl)c2F)n1)C(O)=O,
459299,O[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc([nH]n1)-c1ccncc1)C(O)=O,
459301,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc([nH]n1)-c1cnccn1)C(O)=O,
459303,O[C@H](CC(Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc([nH]n1)-c1ccccc1Cl)C(O)=O,
459309,CC(=O)Nc1cccc(c1)-c1cc(n[nH]1)C(=O)NC(C[C@@H](O)C(O)=O)Cc1ccc(cc1)-c1ccccc1,
