BindingDB MonomerID,Ligand SMILES,IC50 (nM)
50008595,CC(C)CC(CS)C(=O)Nc1ccc(cc1)S([O-])(=O)=O,9.045757490560675
50056252,OC(=O)[C@@H]1CCCCc2ccccc2C[C@H](CS)C(=O)N1,9.045757490560675
50051784,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)[C@@H](S)Cc1ccccc1)c1ccccc1O,9.0
50025920,COC(=O)CNC(=O)C(Cc1ccccc1)C(=O)NO,9.0
21641,OC(=O)CNC(=O)C(CS)Cc1ccccc1,9.0
50403250,OC(=O)CN1c2ccccc2SC[C@H](NC(=O)[C@@H](CS)Cc2ccccc2)C1=O,9.0
153108,C[C@H](C[C@@H](Cc1ccc(cc1)-c1ccccc1)NC(=O)c1cc(ncn1)C(O)=O)C(O)=O,9.0
50503895,CCOc1nc(CC)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O,9.0
50503881,CCCCc1nc(Cl)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O,9.0
50503884,CCCCc1nc(C2CC2)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O,9.0
50503886,CCCOc1nc(CC)c(CNC(=O)[C@@H](S)CC(C)C)n1Cc1ccc(cc1)-c1ccccc1C(O)=O,9.0
50105264,C[C@H](NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1)C([O-])=O,9.0
50035236,CC(C)C(C(=O)NO)C(=O)NCCC(O)=O,9.0
50035251,CC(C)C(C(=O)NO)C(=O)NC(CC(N)=O)C(O)=O,9.0
50008602,Cc1ccc(CC(CS)C(=O)Nc2ccc(cc2)S([O-])(=O)=O)cc1,8.958607314841775
50025914,ON(CC(Cc1ccccc1)C(=O)NCC(=O)NCc1ccccc1)C=O,8.920818753952375
50403253,OC(=O)CCN1c2ccccc2OC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C1=O,8.920818753952375
50051803,OC(=O)[C@@H]1CC[C@@H](N1C(=O)CNC(=O)C(S)Cc1ccc(Cl)cc1)c1ccccc1O,8.920818753952375
50048318,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](CCc1ccccc1)C(O)=O,8.920818753952375
50050158,C[C@H](NC(=O)[C@H](S)Cc1ccccc1)C(=O)N1CCCC1C(O)=O,8.886056647693163
50085454,ON(C[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCc2ccccc2N(CC(O)=O)C1=O)C=O,8.886056647693163
50041071,CC(C(CS)C(=O)NCC(O)=O)c1ccccc1,8.886056647693163
50285328,OP(O)(=O)CN[C@@H](Cc1ccc(cc1)-c1ccccc1)C(=O)Nc1nnn[nH]1,8.853871964321762
50002022,ONC(=O)CC(Cc1ccccc1)C(=O)NCC(O)=O,8.853871964321762
50017742,[O-]C(=O)CCCNC(=O)[C@@H](C[C@@H](Cc1ccccc1)C([O-])=O)Cc1ccccc1,8.853871964321762
50050127,CC[C@@H](C)[C@H](NC(=O)[C@@H](S)C(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,8.853871964321762
50025913,ON(C=O)C(Cc1ccccc1)C(=O)NCC(O)=O,8.823908740944319
50291557,OP(O)(=O)C(Cc1cccc2cccnc12)N[C@@H](Cc1ccc(cc1)-c1ccccc1)c1nnn[nH]1,8.823908740944319
50051800,Cc1cccc(c1)C1CCC(N1C(=O)CNC(=O)[C@@H](S)Cc1ccc(O)cc1)C(O)=O,8.823908740944319
50008605,[O-]S(=O)(=O)CCNC(=O)C(CS)Cc1ccccc1,8.823908740944319
50048312,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O,8.823908740944319
50285340,COc1cc(C[C@H](NCP(O)(O)=O)c2nnn[nH]2)ccc1-c1ccccc1,8.823908740944319
50048320,CC(C)[C@H](S)C(=O)NC1(CCCC1)C(=O)N[C@@H](Cc1cccs1)C(O)=O,8.823908740944319
